Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
HIP116003,30:13.4,-20:23:27.448,M2Ve,N/A,12.633,11.113,9.921,15.96,HIP116003_harps_all-data_v1.dat,HIP116003_harps_all-data_v1.csv
HIP116317,34:03.3,+00:10:45.875,M2/3V,N/A,12.638,11.16,10.165,14.01,HIP116317_harps_all-data_v1.dat,HIP116317_harps_all-data_v1.csv
HIP116350,34:34.6,-70:57:47.238,F6V,N/A,8.02,7.55,7.428,52.13,HIP116350_harps_all-data_v1.dat,HIP116350_harps_all-data_v1.csv
HIP116374,34:52.5,-34:40:11.232,K5.5V,N/A,11.46,10.28,9.712,38.43,HIP116374_harps_all-data_v1.dat,HIP116374_harps_all-data_v1.csv
HIP116492,36:21.0,-33:12:49.243,K4.5V,N/A,11.34,10.18,9.678,40.3,HIP116492_harps_all-data_v1.dat,HIP116492_harps_all-data_v1.csv
HIP117219,46:01.3,-40:10:57.234,A7III/IV,7821,6.503,6.302,6.272,67.11,HIP117219_harps_all-data_v1.dat,HIP117219_harps_all-data_v1.csv
HIP11739,31:30.8,-20:01:41.584,K6Vk:,4210,11.6,10.199,9.703,33.07,HIP11739_harps_all-data_v1.dat,HIP11739_harps_all-data_v1.csv
HIP11989,34:36.7,-42:10:19.786,K0,4886.7,11.05,9.99,9.691,49.51,HIP11989_harps_all-data_v1.dat,HIP11989_harps_all-data_v1.csv
HIP12065,35:35.0,-04:46:01.636,K4:V,4654.3,11.31,10.1,9.753,39.19,HIP12065_harps_all-data_v1.dat,HIP12065_harps_all-data_v1.csv
HIP12147,36:35.6,-74:06:33.191,N/A,5030,10.79,9.88,9.629,50.37,HIP12147_harps_all-data_v1.dat,HIP12147_harps_all-data_v1.csv
HIP12961,46:42.9,-23:05:11.802,K5V,N/A,11.651,10.237,9.599,23.39,HIP12961_harps_all-data_v1.dat,HIP12961_harps_all-data_v1.csv
HIP14475,06:48.8,-04:48:30.702,G0,5456.3,9.94,9.27,9.04,60.39,HIP14475_harps_all-data_v1.dat,HIP14475_harps_all-data_v1.csv
HIP15587,20:46.7,-62:16:28.127,N/A,N/A,10.71,9.94,9.772,67.32,HIP15587_harps_all-data_v1.dat,HIP15587_harps_all-data_v1.csv
HIP1608,20:08.4,-17:03:41.001,M1+Vk:,3954.1,13.2,13.642,10.843,22.84,HIP1608_harps_all-data_v1.dat,HIP1608_harps_all-data_v1.csv
HIP16445,31:47.1,+14:19:17.744,M2.5Ve,N/A,13.846,12.263,11.282,20.22,HIP16445_harps_all-data_v1.dat,HIP16445_harps_all-data_v1.csv
HIP16536,32:55.9,-44:42:07.002,M2.5V,N/A,13.063,11.478,10.386,10.97,HIP16536_harps_all-data_v1.dat,HIP16536_harps_all-data_v1.csv
HIP17044,39:13.5,+24:27:59.480,N/A,5732.8,10.941,10.34,10.219,142.28,HIP17044_harps_all-data_v1.dat,HIP17044_harps_all-data_v1.csv
HIP17157,40:29.4,-47:55:30.550,K7V,4273.4,10.92,9.62,9.094,25.62,HIP17157_harps_all-data_v1.dat,HIP17157_harps_all-data_v1.csv
HIP17316,42:24.0,+21:28:24.566,G0,5954.3,10.371,9.841,9.707,129.54,HIP17316_harps_all-data_v1.dat,HIP17316_harps_all-data_v1.csv
HIP17365,43:06.2,-12:53:39.621,K5V,4171.8,11.96,10.84,10.269,28.39,HIP17365_harps_all-data_v1.dat,HIP17365_harps_all-data_v1.csv
HIP17695,47:23.3,-01:58:19.945,M3.0V,N/A,13.048,11.537,10.496,16.8,HIP17695_harps_all-data_v1.dat,HIP17695_harps_all-data_v1.csv
HIP17956,50:19.6,-23:49:44.967,K6V,4382.3,11.06,9.86,9.362,32.63,HIP17956_harps_all-data_v1.dat,HIP17956_harps_all-data_v1.csv
HIP18180,53:19.7,-37:03:59.110,M2.5V,N/A,13.61,12.12,11.207,25.53,HIP18180_harps_all-data_v1.dat,HIP18180_harps_all-data_v1.csv
HIP18918,03:18.1,-22:48:55.605,K5V,4490.7,11.61,10.326,9.892,38.78,HIP18918_harps_all-data_v1.dat,HIP18918_harps_all-data_v1.csv
HIP1993,25:14.7,-61:30:48.252,M0Ve,4077,13.11,11.34,10.68,44.16,HIP1993_harps_all-data_v1.dat,HIP1993_harps_all-data_v1.csv
HIP20232,20:10.6,-14:45:39.841,K4V,4314,10.98,9.778,9.309,29.32,HIP20232_harps_all-data_v1.dat,HIP20232_harps_all-data_v1.csv
HIP20267,20:41.0,-01:44:23.363,G0,5765.4,9.19,8.64,8.464,135.56,HIP20267_harps_all-data_v1.dat,HIP20267_harps_all-data_v1.csv
HIP20444,22:46.7,-33:07:23.761,K2,N/A,11.06,10.02,9.729,50.25,HIP20444_harps_all-data_v1.dat,HIP20444_harps_all-data_v1.csv
HIP20699,26:02.1,-06:10:50.685,K2V,5066,10.61,9.75,9.475,51.33,HIP20699_harps_all-data_v1.dat,HIP20699_harps_all-data_v1.csv
HIP21539,37:27.1,-33:18:15.231,K5Vk:,4543.9,11.26,10.1,9.747,36.99,HIP21539_harps_all-data_v1.dat,HIP21539_harps_all-data_v1.csv
HIP21991,43:36.3,-15:48:18.206,K2V,4875.9,10.95,9.96,9.658,48.96,HIP21991_harps_all-data_v1.dat,HIP21991_harps_all-data_v1.csv
HIP22059,44:41.7,-37:07:16.965,K4Vk:,4698.8,10.64,9.57,9.168,31.1,HIP22059_harps_all-data_v1.dat,HIP22059_harps_all-data_v1.csv
HIP22424,49:32.8,-14:47:22.463,K7V,N/A,12.33,10.881,10.162,25.1,HIP22424_harps_all-data_v1.dat,HIP22424_harps_all-data_v1.csv
HIP2247,28:34.3,-16:13:34.841,K4Vk:,N/A,10.77,9.72,9.201,34.49,HIP2247_harps_all-data_v1.dat,HIP2247_harps_all-data_v1.csv
HIP23309,00:47.1,-57:15:25.453,M0Ve,4033.1,11.36,9.977,9.353,26.9,HIP23309_harps_all-data_v1.dat,HIP23309_harps_all-data_v1.csv
HIP23344,01:16.6,+04:06:37.023,sdF0,6387.8,10.17,nan,9.65,171.61,HIP23344_harps_all-data_v1.dat,HIP23344_harps_all-data_v1.csv
HIP25578,28:00.2,+09:38:38.154,M3.5Ve,N/A,14.082,12.443,11.181,10.21,HIP25578_harps_all-data_v1.dat,HIP25578_harps_all-data_v1.csv
HIP25612,28:18.3,-81:46:31.366,M,N/A,11.17,10.13,9.63,30.4,HIP25612_harps_all-data_v1.dat,HIP25612_harps_all-data_v1.csv
HIP25654,28:48.3,-13:32:32.444,G5,5387.2,9.99,9.18,8.984,57.1,HIP25654_harps_all-data_v1.dat,HIP25654_harps_all-data_v1.csv
HIP26013,33:04.6,-26:43:28.268,K3+Vk:,4771,10.17,9.13,8.792,32.6,HIP26013_harps_all-data_v1.dat,HIP26013_harps_all-data_v1.csv
HIP26542,38:40.5,-38:21:26.926,K3.5Vk:,N/A,10.6,9.55,9.17,29.5,HIP26542_harps_all-data_v1.dat,HIP26542_harps_all-data_v1.csv
HIP27397,48:17.1,-11:08:04.634,K9Vk:,N/A,12.07,10.96,10.271,28.13,HIP27397_harps_all-data_v1.dat,HIP27397_harps_all-data_v1.csv
HIP27928,54:34.1,-09:23:33.804,K4V,N/A,11.89,10.75,10.244,37.92,HIP27928_harps_all-data_v1.dat,HIP27928_harps_all-data_v1.csv
HIP29322,10:59.9,-65:12:20.816,M1V,N/A,11.95,11.54,10.512,27.64,HIP29322_harps_all-data_v1.dat,HIP29322_harps_all-data_v1.csv
HIP29788,16:18.8,-59:12:48.606,F9.5V,N/A,7.02,6.43,6.282,36.15,HIP29788_harps_all-data_v1.dat,HIP29788_harps_all-data_v1.csv
HIP31293,33:43.3,-75:37:47.957,M2V,N/A,11.87,10.484,9.371,8.84,HIP31293_harps_all-data_v1.dat,HIP31293_harps_all-data_v1.csv
HIP31639,37:14.6,-25:21:39.799,G5,5441,10.29,9.63,9.448,67.09,HIP31639_harps_all-data_v1.dat,HIP31639_harps_all-data_v1.csv
HIP31862,39:37.6,-55:36:34.833,M0Vk:,N/A,11.279,9.809,9.065,13.18,HIP31862_harps_all-data_v1.dat,HIP31862_harps_all-data_v1.csv
HIP31878,39:50.0,-61:28:41.529,K7V(e),4170,11.043,9.746,9.252,22.24,HIP31878_harps_all-data_v1.dat,HIP31878_harps_all-data_v1.csv
HIP32127,42:34.9,-56:26:42.366,N/A,N/A,10.16,9.47,9.273,54.89,HIP32127_harps_all-data_v1.dat,HIP32127_harps_all-data_v1.csv
HIP32393,45:43.0,-20:51:09.598,K1.5III,4649.4,8.71,7.43,7.077,752.22,HIP32393_harps_all-data_v1.dat,HIP32393_harps_all-data_v1.csv
HIP3249,41:24.3,-13:10:19.694,K5V,4174,12.12,10.732,10.239,34.45,HIP3249_harps_all-data_v1.dat,HIP3249_harps_all-data_v1.csv
HIP32812,50:24.0,-51:02:44.347,K0,4924.7,10.832,9.96,9.641,54.14,HIP32812_harps_all-data_v1.dat,HIP32812_harps_all-data_v1.csv
HIP34285,06:29.0,-57:27:29.118,F7V,N/A,10.04,9.54,9.373,93.08,HIP34285_harps_all-data_v1.dat,HIP34285_harps_all-data_v1.csv
HIP35305,17:35.1,-15:38:35.432,N/A,4837.5,11.8,10.77,10.5,1175.36,HIP35305_harps_all-data_v1.dat,HIP35305_harps_all-data_v1.csv
HIP35366,18:19.0,-15:34:59.422,N/A,4861.4,12.1,11.1,10.807,1124.99,HIP35366_harps_all-data_v1.dat,HIP35366_harps_all-data_v1.csv
HIP35937,24:31.1,-80:11:07.339,M0,4205,11.39,10.03,9.562,29.97,HIP35937_harps_all-data_v1.dat,HIP35937_harps_all-data_v1.csv
HIP35965,24:48.3,-51:19:38.788,K0,N/A,11.1,10.18,9.883,50.24,HIP35965_harps_all-data_v1.dat,HIP35965_harps_all-data_v1.csv
HIP36338,28:45.4,-03:17:53.305,M3V,N/A,13.023,11.456,10.289,11.72,HIP36338_harps_all-data_v1.dat,HIP36338_harps_all-data_v1.csv
HIP36985,36:07.1,-03:06:38.791,M1.0V,N/A,11.347,9.871,9.118,14.07,HIP36985_harps_all-data_v1.dat,HIP36985_harps_all-data_v1.csv
HIP37217,38:41.0,-21:13:28.477,M3,N/A,13.294,11.712,10.604,10.43,HIP37217_harps_all-data_v1.dat,HIP37217_harps_all-data_v1.csv
HIP38594,54:10.9,-25:18:11.420,M0,N/A,11.107,9.715,9.085,17.8,HIP38594_harps_all-data_v1.dat,HIP38594_harps_all-data_v1.csv
HIP39470,04:01.9,-35:16:34.106,M0,4293.8,12.29,10.83,10.382,44.05,HIP39470_harps_all-data_v1.dat,HIP39470_harps_all-data_v1.csv
HIP39611,05:40.0,-59:25:26.038,K6Vk:,4316.3,11.5,10.35,9.965,37.73,HIP39611_harps_all-data_v1.dat,HIP39611_harps_all-data_v1.csv
HIP40038,10:42.9,-12:40:11.620,K0,4883,11.48,10.65,10.362,1313.54,HIP40038_harps_all-data_v1.dat,HIP40038_harps_all-data_v1.csv
HIP40459,15:40.1,-26:00:35.583,N/A,N/A,11.4,10.11,9.558,28.67,HIP40459_harps_all-data_v1.dat,HIP40459_harps_all-data_v1.csv
HIP40774,19:19.1,+01:20:19.909,G5V,4916.8,9.266,8.347,8.076,22.39,HIP40774_harps_all-data_v1.dat,HIP40774_harps_all-data_v1.csv
HIP41659,29:37.8,-54:16:33.036,K0V,N/A,10.28,9.51,9.266,52.51,HIP41659_harps_all-data_v1.dat,HIP41659_harps_all-data_v1.csv
HIP41662,29:40.5,-09:58:35.101,K4V,4579.4,11.47,10.213,9.791,35.33,HIP41662_harps_all-data_v1.dat,HIP41662_harps_all-data_v1.csv
HIP41795,31:18.2,-68:35:22.194,K6.5Vk:,4114,11.89,10.75,10.114,37.4,HIP41795_harps_all-data_v1.dat,HIP41795_harps_all-data_v1.csv
HIP4328,55:25.4,-51:49:57.493,M3V,N/A,13.85,14.417,11.436,29.82,HIP4328_harps_all-data_v1.dat,HIP4328_harps_all-data_v1.csv
HIP43310,49:22.8,-32:23:05.344,K4.5Vk:,N/A,11.04,9.94,9.517,35.26,HIP43310_harps_all-data_v1.dat,HIP43310_harps_all-data_v1.csv
HIP43313,49:24.8,-32:31:52.016,M0,N/A,nan,nan,10.198,34.65,HIP43313_harps_all-data_v1.dat,HIP43313_harps_all-data_v1.csv
HIP4394,56:19.6,-65:26:45.221,K5V,N/A,11.11,10.13,9.792,53.8,HIP4394_harps_all-data_v1.dat,HIP4394_harps_all-data_v1.csv
HIP43973,57:16.9,-09:27:46.970,G0,N/A,10.17,9.51,9.34,61.2,HIP43973_harps_all-data_v1.dat,HIP43973_harps_all-data_v1.csv
HIP44376,02:19.9,+08:28:06.539,M3.0Ve,N/A,13.189,11.728,10.713,20.4,HIP44376_harps_all-data_v1.dat,HIP44376_harps_all-data_v1.csv
HIP4468,57:16.3,-51:35:04.716,M0V,4131.6,12.17,10.76,10.181,30.87,HIP4468_harps_all-data_v1.dat,HIP4468_harps_all-data_v1.csv
HIP44899,08:52.1,-34:50:33.737,K7Vk:,N/A,11.664,10.305,9.712,23.78,HIP44899_harps_all-data_v1.dat,HIP44899_harps_all-data_v1.csv
HIP45301,13:59.6,-27:31:12.410,K3.5V,4762,10.75,9.74,9.337,38.53,HIP45301_harps_all-data_v1.dat,HIP45301_harps_all-data_v1.csv
HIP46634,30:35.0,+10:35:59.822,N/A,5201.5,nan,nan,8.448,35.36,HIP46634_harps_all-data_v1.dat,HIP46634_harps_all-data_v1.csv
HIP46655,30:44.6,+00:19:21.600,M3.5Ve,N/A,13.298,11.71,10.494,9.9,HIP46655_harps_all-data_v1.dat,HIP46655_harps_all-data_v1.csv
HIP46933,33:56.1,-39:35:39.951,K5Vk:,N/A,11.43,10.25,9.775,34.94,HIP46933_harps_all-data_v1.dat,HIP46933_harps_all-data_v1.csv
HIP47,00:32.4,-56:50:08.163,K3V,4474.1,11.86,10.75,10.283,45.13,HIP47_harps_all-data_v1.dat,HIP47_harps_all-data_v1.csv
HIP48762,56:46.0,-12:16:13.328,K2.5Vk:,4904.1,10.78,9.91,9.647,48.74,HIP48762_harps_all-data_v1.dat,HIP48762_harps_all-data_v1.csv
HIP4877,02:41.7,-61:34:18.701,N/A,5125.2,10.91,9.916,9.718,58.2,HIP4877_harps_all-data_v1.dat,HIP4877_harps_all-data_v1.csv
HIP48953,59:11.4,-09:11:00.257,K4Vk:,4593.7,10.9,9.95,9.479,33.06,HIP48953_harps_all-data_v1.dat,HIP48953_harps_all-data_v1.csv
HIP49067,00:47.7,-09:31:00.042,K4:V,N/A,10.94,9.874,9.503,41.38,HIP49067_harps_all-data_v1.dat,HIP49067_harps_all-data_v1.csv
HIP51073,26:07.6,-17:58:42.688,K4/5V,N/A,12.16,10.933,10.415,40.46,HIP51073_harps_all-data_v1.dat,HIP51073_harps_all-data_v1.csv
HIP5114,05:32.2,-66:44:32.610,N/A,N/A,10.958,10.03,9.746,41.94,HIP5114_harps_all-data_v1.dat,HIP5114_harps_all-data_v1.csv
HIP51344,29:14.3,+04:37:12.017,F8,5175.2,10.47,9.65,9.519,564.43,HIP51344_harps_all-data_v1.dat,HIP51344_harps_all-data_v1.csv
HIP51443,30:22.0,-21:14:12.413,K5Vk:,N/A,10.84,9.66,9.188,29.41,HIP51443_harps_all-data_v1.dat,HIP51443_harps_all-data_v1.csv
HIP51588,32:13.6,-35:37:41.710,N/A,N/A,12.84,11.84,12.024,300.5,HIP51588_harps_all-data_v1.dat,HIP51588_harps_all-data_v1.csv
HIP5215,06:41.5,+15:16:22.089,M0V,N/A,12.913,11.403,10.504,22.24,HIP5215_harps_all-data_v1.dat,HIP5215_harps_all-data_v1.csv
HIP523,06:19.2,-65:50:25.917,M4V,N/A,13.751,12.174,11.103,17.44,HIP523_harps_all-data_v1.dat,HIP523_harps_all-data_v1.csv
HIP52776,47:25.4,-22:17:12.171,K4.5Vk:,4582.7,11.049,10,9.501,33.6,HIP52776_harps_all-data_v1.dat,HIP52776_harps_all-data_v1.csv
HIP52997,50:28.3,-20:52:50.375,K4V,4590.7,11.66,10.636,10.219,47.35,HIP52997_harps_all-data_v1.dat,HIP52997_harps_all-data_v1.csv
HIP53559,57:23.4,-33:29:04.930,K0,5175,10.22,9.34,9.107,56.09,HIP53559_harps_all-data_v1.dat,HIP53559_harps_all-data_v1.csv
HIP53639,58:24.4,-06:44:14.046,K4V,N/A,11.41,10.242,9.855,45.01,HIP53639_harps_all-data_v1.dat,HIP53639_harps_all-data_v1.csv
HIP53911,01:51.9,-34:42:17.031,K6Ve,4236,11.94,10.5,10.439,60.09,HIP53911_harps_all-data_v1.dat,HIP53911_harps_all-data_v1.csv
HIP54365,07:20.7,-77:38:07.290,G2Ve,4251,11.8,10.9,nan,nan,HIP54365_harps_all-data_v1.dat,HIP54365_harps_all-data_v1.csv
HIP54373,07:27.7,-19:17:29.355,K5V,4021.4,11.828,10.379,9.641,18.73,HIP54373_harps_all-data_v1.dat,HIP54373_harps_all-data_v1.csv
HIP54446,08:23.8,-26:09:16.352,K3V,4942,10.86,9.94,9.681,51.83,HIP54446_harps_all-data_v1.dat,HIP54446_harps_all-data_v1.csv
HIP54469,08:40.1,-44:15:33.796,F8,5932,10.38,9.82,9.682,134.12,HIP54469_harps_all-data_v1.dat,HIP54469_harps_all-data_v1.csv
HIP54597,10:26.0,-29:24:50.325,K5V,4742.5,10.99,9.82,9.483,39.79,HIP54597_harps_all-data_v1.dat,HIP54597_harps_all-data_v1.csv
HIP55787,25:48.5,-43:09:52.527,N/A,4755.4,12.043,10.886,10.598,1227.3,HIP55787_harps_all-data_v1.dat,HIP55787_harps_all-data_v1.csv
HIP55789,25:49.9,-43:12:15.701,K0III,N/A,11.3,10.02,9.636,868.43,HIP55789_harps_all-data_v1.dat,HIP55789_harps_all-data_v1.csv
HIP55955,28:00.5,-09:10:56.546,M2,N/A,13.8,14.485,11.566,27.08,HIP55955_harps_all-data_v1.dat,HIP55955_harps_all-data_v1.csv
HIP56489,34:50.4,-13:14:31.282,K7V,N/A,11.55,10.344,9.858,30.27,HIP56489_harps_all-data_v1.dat,HIP56489_harps_all-data_v1.csv
HIP56838,39:08.2,-27:41:46.367,K6V,N/A,11.25,10.03,9.493,29.95,HIP56838_harps_all-data_v1.dat,HIP56838_harps_all-data_v1.csv
HIP57459,46:42.9,-14:00:51.781,M3V,N/A,13.19,11.7,10.607,19.38,HIP57459_harps_all-data_v1.dat,HIP57459_harps_all-data_v1.csv
HIP58285,57:13.5,-79:21:31.521,K0e,4290.2,10,11.86,12.974,109.62,HIP58285_harps_all-data_v1.dat,HIP58285_harps_all-data_v1.csv
HIP58289,57:15.6,-06:58:36.797,K8,4855.5,10.54,9.59,9.212,38.84,HIP58289_harps_all-data_v1.dat,HIP58289_harps_all-data_v1.csv
HIP58348,57:57.8,-51:30:02.129,G5,4853.5,11.32,10.34,9.997,56.88,HIP58348_harps_all-data_v1.dat,HIP58348_harps_all-data_v1.csv
HIP59109,07:15.1,-05:44:01.609,A7,N/A,10.4,9.99,9.855,177.68,HIP59109_harps_all-data_v1.dat,HIP59109_harps_all-data_v1.csv
HIP59341,10:22.2,-43:52:15.387,G5V,5737.1,9.66,8.94,8.787,123.98,HIP59341_harps_all-data_v1.dat,HIP59341_harps_all-data_v1.csv
HIP59925,17:32.1,-24:01:06.943,K4V,N/A,11.26,10.11,9.695,35.19,HIP59925_harps_all-data_v1.dat,HIP59925_harps_all-data_v1.csv
HIP60051,18:56.5,-45:52:53.585,G5V,5584.7,9.785,9.13,8.949,53.51,HIP60051_harps_all-data_v1.dat,HIP60051_harps_all-data_v1.csv
HIP60718,26:35.9,-63:05:56.734,B0.5IV+B1V,N/A,nan,nan,nan,nan,HIP60718_harps_all-data_v1.dat,HIP60718_harps_all-data_v1.csv
HIP60910,28:57.6,+08:25:31.099,M4V,N/A,13.618,12.047,10.757,14.57,HIP60910_harps_all-data_v1.dat,HIP60910_harps_all-data_v1.csv
HIP61406,34:53.9,-47:17:19.425,K4-V,N/A,10.92,9.86,9.525,42.78,HIP61406_harps_all-data_v1.dat,HIP61406_harps_all-data_v1.csv
HIP61505,36:06.6,-42:51:08.281,G5V,5720,8.557,7.884,7.71,48.09,HIP61505_harps_all-data_v1.dat,HIP61505_harps_all-data_v1.csv
HIP61872,40:45.7,-33:22:17.133,K6.5Vk:,4143.1,11.712,10.418,9.835,30.04,HIP61872_harps_all-data_v1.dat,HIP61872_harps_all-data_v1.csv
HIP62452,47:56.6,+09:45:05.031,M3.5Ve,N/A,12.958,11.395,10.094,8.08,HIP62452_harps_all-data_v1.dat,HIP62452_harps_all-data_v1.csv
HIP6276,20:32.3,-11:28:03.728,G9V,5301.5,9.19,8.39,8.225,35.33,HIP6276_harps_all-data_v1.dat,HIP6276_harps_all-data_v1.csv
HIP63157,56:30.1,-24:55:31.713,K5.5Vk,4342.5,11.38,10.029,9.545,31.1,HIP63157_harps_all-data_v1.dat,HIP63157_harps_all-data_v1.csv
HIP63719,03:27.5,-24:25:12.124,Fwl:,6110,10.43,10.04,9.868,181.92,HIP63719_harps_all-data_v1.dat,HIP63719_harps_all-data_v1.csv
HIP64428,12:20.9,-23:20:06.431,K3.5Vk:,N/A,10.85,9.77,9.424,39.67,HIP64428_harps_all-data_v1.dat,HIP64428_harps_all-data_v1.csv
HIP65924,30:52.6,-32:37:48.596,K8V,N/A,12.82,11.48,10.832,40.76,HIP65924_harps_all-data_v1.dat,HIP65924_harps_all-data_v1.csv
HIP65956,31:22.3,-18:04:00.493,K5V,4537.5,11,9.84,9.507,36.66,HIP65956_harps_all-data_v1.dat,HIP65956_harps_all-data_v1.csv
HIP6639,25:09.5,-01:03:34.855,K3,N/A,10.52,9.47,9.116,31.86,HIP6639_harps_all-data_v1.dat,HIP6639_harps_all-data_v1.csv
HIP66678,40:08.4,-66:20:21.509,K6.5V,4116.1,11.8,10.49,9.869,34.68,HIP66678_harps_all-data_v1.dat,HIP66678_harps_all-data_v1.csv
HIP66918,42:50.5,-21:42:41.262,K6Vk:,N/A,11.29,10.17,9.595,33.9,HIP66918_harps_all-data_v1.dat,HIP66918_harps_all-data_v1.csv
HIP67126,45:28.2,-58:38:42.219,M0,N/A,10.89,9.59,9.5,39.72,HIP67126_harps_all-data_v1.dat,HIP67126_harps_all-data_v1.csv
HIP67164,45:50.7,-17:58:05.610,M3.5,N/A,13.423,11.872,10.595,11.21,HIP67164_harps_all-data_v1.dat,HIP67164_harps_all-data_v1.csv
HIP68900,06:24.3,-16:12:46.611,K3V,N/A,11.14,10.1,9.691,40.16,HIP68900_harps_all-data_v1.dat,HIP68900_harps_all-data_v1.csv
HIP69224,10:21.7,-44:58:45.514,K1,N/A,10,9.58,9.372,49.44,HIP69224_harps_all-data_v1.dat,HIP69224_harps_all-data_v1.csv
HIP69570,14:24.8,-48:08:47.893,G5V,5727.4,8.89,8.23,8.046,37.84,HIP69570_harps_all-data_v1.dat,HIP69570_harps_all-data_v1.csv
HIP69929,18:38.3,-18:42:57.482,ApSi(Cr),8843.5,5.9,5.9,5.844,78.47,HIP69929_harps_all-data_v1.dat,HIP69929_harps_all-data_v1.csv
HIP70317,23:11.5,-08:06:58.614,K5,N/A,11.05,9.92,9.434,35.04,HIP70317_harps_all-data_v1.dat,HIP70317_harps_all-data_v1.csv
HIP70475,24:56.0,+08:53:15.449,M3V,N/A,13.86,12.257,11.095,12.97,HIP70475_harps_all-data_v1.dat,HIP70475_harps_all-data_v1.csv
HIP7058,30:58.6,-48:52:16.651,K5-V,N/A,11.301,10.14,9.751,39.42,HIP7058_harps_all-data_v1.dat,HIP7058_harps_all-data_v1.csv
HIP70681,27:24.9,-18:24:40.457,G3V,N/A,9.939,9.535,9.114,56.24,HIP70681_harps_all-data_v1.dat,HIP70681_harps_all-data_v1.csv
HIP70975,31:01.2,-12:17:45.948,M4,N/A,13.49,11.903,10.662,10.86,HIP70975_harps_all-data_v1.dat,HIP70975_harps_all-data_v1.csv
HIP71253,34:16.8,-12:31:10.417,M3.5V,N/A,12.915,11.317,9.879,6.25,HIP71253_harps_all-data_v1.dat,HIP71253_harps_all-data_v1.csv
HIP7228,33:09.1,-24:54:51.627,K6V,4463,11.23,10.063,9.563,35.35,HIP7228_harps_all-data_v1.dat,HIP7228_harps_all-data_v1.csv
HIP72378,47:57.6,-26:38:46.195,B9.5V,9414.8,5.751,5.764,5.732,143.86,HIP72378_harps_all-data_v1.dat,HIP72378_harps_all-data_v1.csv
HIP72779,52:37.1,-25:27:17.151,G5V,5670,8.6,7.87,7.712,51.78,HIP72779_harps_all-data_v1.dat,HIP72779_harps_all-data_v1.csv
HIP73194,57:33.3,-06:19:48.898,M0,4040.2,12.65,11.479,10.744,37.72,HIP73194_harps_all-data_v1.dat,HIP73194_harps_all-data_v1.csv
HIP74190,09:35.6,+03:10:00.551,M2V,N/A,12.986,11.473,10.368,14.6,HIP74190_harps_all-data_v1.dat,HIP74190_harps_all-data_v1.csv
HIP7588,37:42.8,-57:14:12.310,B6Vpe,N/A,0.3,0.46,nan,nan,HIP7588_harps_all-data_v1.dat,HIP7588_harps_all-data_v1.csv
HIP7646,38:29.9,+00:39:05.721,M2.5V,N/A,13.08,11.562,10.644,20.74,HIP7646_harps_all-data_v1.dat,HIP7646_harps_all-data_v1.csv
HIP76550,38:02.3,-21:19:09.040,K7Vp,N/A,12,13.161,10.734,38,HIP76550_harps_all-data_v1.dat,HIP76550_harps_all-data_v1.csv
HIP76668,39:21.9,-10:16:23.866,K5V,4720,11.3,10.2,9.748,51.34,HIP76668_harps_all-data_v1.dat,HIP76668_harps_all-data_v1.csv
HIP78242,58:32.6,-30:26:48.422,K0,N/A,10.56,9.69,9.436,58.03,HIP78242_harps_all-data_v1.dat,HIP78242_harps_all-data_v1.csv
HIP7829,40:44.2,-49:13:54.106,K6Vk:,N/A,11.45,10.19,9.672,32.41,HIP7829_harps_all-data_v1.dat,HIP7829_harps_all-data_v1.csv
HIP78345,59:49.5,-36:28:27.903,K3e,4447.7,12.06,11.12,10.783,86.62,HIP78345_harps_all-data_v1.dat,HIP78345_harps_all-data_v1.csv
HIP78395,00:16.5,-01:47:55.633,K6V,4243.6,11.5,10.248,9.757,30.67,HIP78395_harps_all-data_v1.dat,HIP78395_harps_all-data_v1.csv
HIP78408,00:23.0,-45:27:09.938,G5IV,5600,8.25,7.51,7.346,66.02,HIP78408_harps_all-data_v1.dat,HIP78408_harps_all-data_v1.csv
HIP79578,14:11.9,-31:39:49.208,G3V,N/A,7.21,6.54,6.381,22.21,HIP79578_harps_all-data_v1.dat,HIP79578_harps_all-data_v1.csv
HIP80018,20:03.5,-37:31:44.468,N/A,N/A,nan,nan,nan,8.34,HIP80018_harps_all-data_v1.dat,HIP80018_harps_all-data_v1.csv
HIP80083,20:40.6,-17:38:58.756,K4,N/A,12,13.341,10.875,47.94,HIP80083_harps_all-data_v1.dat,HIP80083_harps_all-data_v1.csv
HIP80683,28:21.3,-31:07:50.972,K2.5V,4903.7,9.7,8.73,8.4,28.08,HIP80683_harps_all-data_v1.dat,HIP80683_harps_all-data_v1.csv
HIP80817,30:13.1,-14:39:49.546,M2.5V/M3V,N/A,13.772,12.28,11.13,21.79,HIP80817_harps_all-data_v1.dat,HIP80817_harps_all-data_v1.csv
HIP81018,32:45.2,+12:36:45.997,M3.0Ve,N/A,13.642,12.158,11.055,18.5,HIP81018_harps_all-data_v1.dat,HIP81018_harps_all-data_v1.csv
HIP81084,33:41.6,-09:33:11.936,K9Vkee,4080.3,12.9,11.28,10.525,31.09,HIP81084_harps_all-data_v1.dat,HIP81084_harps_all-data_v1.csv
HIP8119,44:22.3,-80:34:26.732,K0,5421.5,10.44,9.68,9.529,73.28,HIP8119_harps_all-data_v1.dat,HIP8119_harps_all-data_v1.csv
